epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2329.7,0.64062,0.47772,0.97566,0.96697,0.97561,0.99134,0.84852,0.62972,0.35518,0.95585,0.000641547,0.000641547,0.000641547
43,2383.29,0.61743,0.4788,0.9563,0.98226,0.95331,0.98979,0.82028,0.7017,0.3736,0.98563,0.00063978,0.00063978,0.00063978
44,2435.87,0.6328,0.48107,0.96638,0.97846,0.97714,0.99135,0.76547,0.91736,0.39171,1.11932,0.000638013,0.000638013,0.000638013
45,2488.79,0.62887,0.47335,0.95589,0.97678,0.95572,0.99156,0.78681,0.74914,0.41164,1.00782,0.000636245,0.000636245,0.000636245
46,2542.36,0.64394,0.48867,0.96149,0.96173,0.97845,0.99061,0.77514,0.83188,0.40149,1.08036,0.000634478,0.000634478,0.000634478
47,2596.06,0.63238,0.47431,0.97347,0.96495,0.97465,0.99198,0.80017,0.85348,0.41698,1.07023,0.000632711,0.000632711,0.000632711
48,2649.63,0.64671,0.48982,0.96785,0.97582,0.97149,0.99086,0.80566,0.77023,0.39815,1.03564,0.000630944,0.000630944,0.000630944
49,2702.9,0.64439,0.45549,0.97507,0.97654,0.97445,0.9928,0.7962,0.7972,0.36263,1.0256,0.000629177,0.000629177,0.000629177
50,2756.34,0.6135,0.46037,0.95972,0.96,0.99033,0.99171,0.81406,0.82648,0.3903,1.06543,0.00062741,0.00062741,0.00062741
51,2810.11,0.61256,0.44442,0.96362,0.96647,0.9614,0.9909,0.82513,0.69827,0.34934,0.97558,0.000625642,0.000625642,0.000625642
52,2863.84,0.59929,0.44232,0.94742,0.9753,0.95943,0.99306,0.79186,0.80736,0.36646,1.03764,0.000623875,0.000623875,0.000623875
53,2917.45,0.6156,0.46709,0.94722,0.96305,0.9716,0.9908,0.85007,0.66723,0.36041,0.96942,0.000622108,0.000622108,0.000622108
54,2970.99,0.62185,0.44806,0.96553,0.9665,0.98282,0.99268,0.79697,0.784,0.3711,1.01926,0.000620341,0.000620341,0.000620341
55,3024.28,0.6157,0.46188,0.94899,0.96453,0.99085,0.9925,0.78527,0.83242,0.37422,1.04803,0.000618574,0.000618574,0.000618574
56,3077.98,0.60229,0.45675,0.93994,0.97033,0.98476,0.99227,0.81063,0.75851,0.35797,1.01492,0.000616807,0.000616807,0.000616807
57,3131.38,0.58913,0.42869,0.94694,0.96125,0.9869,0.99316,0.84076,0.68507,0.3337,0.96524,0.00061504,0.00061504,0.00061504
58,3185.1,0.61934,0.43329,0.95184,0.9622,0.99354,0.99136,0.82949,0.71753,0.34358,0.99045,0.000613272,0.000613272,0.000613272
59,3238.75,0.60493,0.42949,0.96341,0.96607,0.99157,0.99323,0.76577,0.88747,0.38178,1.07116,0.000611505,0.000611505,0.000611505
60,3292.22,0.60488,0.43372,0.95351,0.96361,0.99085,0.9939,0.83916,0.68025,0.3461,0.9738,0.000609738,0.000609738,0.000609738
61,3344.94,0.59759,0.44513,0.95066,0.97305,0.98893,0.99235,0.79623,0.79463,0.37595,1.03637,0.000607971,0.000607971,0.000607971
62,3398.37,0.58718,0.4861,0.94107,0.96405,0.98381,0.9939,0.83988,0.69504,0.37274,0.97652,0.000606204,0.000606204,0.000606204
63,3452.89,0.59267,0.46577,0.941,0.98489,0.96529,0.99413,0.87471,0.5641,0.32335,0.91815,0.000604437,0.000604437,0.000604437
64,3506.77,0.58601,0.43542,0.94005,0.95793,0.97729,0.99389,0.83575,0.68861,0.34819,0.97676,0.00060267,0.00060267,0.00060267
65,3560.42,0.57333,0.41828,0.93454,0.95528,0.98372,0.99353,0.84628,0.66937,0.34848,0.96384,0.000600902,0.000600902,0.000600902
66,3614.22,0.60347,0.45673,0.94893,0.96624,0.95788,0.99263,0.77887,0.87393,0.40383,1.08621,0.000599135,0.000599135,0.000599135
67,3668.12,0.60555,0.43207,0.95592,0.99157,0.97437,0.99343,0.86912,0.56947,0.31724,0.92934,0.000597368,0.000597368,0.000597368
68,3721.34,0.59232,0.4593,0.94679,0.98762,0.97283,0.99228,0.87608,0.59836,0.34131,0.92813,0.000595601,0.000595601,0.000595601
69,3773.78,0.57296,0.47599,0.92455,0.98932,0.96951,0.99364,0.77997,0.84165,0.36285,1.08381,0.000593834,0.000593834,0.000593834
70,3826.91,0.59049,0.45132,0.94148,0.96084,0.9939,0.993,0.866,0.57873,0.30961,0.9222,0.000592067,0.000592067,0.000592067
71,3880.12,0.5642,0.41728,0.93048,0.96789,0.99543,0.99392,0.83378,0.71047,0.32935,0.9966,0.0005903,0.0005903,0.0005903
72,3932.82,0.56984,0.42921,0.92354,0.96378,0.99443,0.99107,0.8464,0.64061,0.33594,0.95056,0.000588532,0.000588532,0.000588532
73,3985.97,0.55888,0.41703,0.93086,0.9607,0.99286,0.99337,0.85144,0.63694,0.32464,0.94792,0.000586765,0.000586765,0.000586765
74,4038.71,0.5656,0.40969,0.92916,0.96316,0.9939,0.99307,0.85552,0.65606,0.32675,0.95375,0.000584998,0.000584998,0.000584998
75,4091.83,0.56937,0.43587,0.93559,0.98141,0.97918,0.99335,0.88201,0.53937,0.30867,0.90416,0.000583231,0.000583231,0.000583231
76,4144.52,0.58063,0.46129,0.92999,0.95772,0.98614,0.99223,0.84141,0.5939,0.33283,0.92943,0.000581464,0.000581464,0.000581464
77,4197.29,0.55341,0.4175,0.91322,0.96346,0.99695,0.99402,0.85622,0.63195,0.31198,0.94255,0.000579697,0.000579697,0.000579697
78,4249.46,0.54875,0.41216,0.91972,0.95228,0.99515,0.99313,0.87376,0.55907,0.31937,0.90873,0.000577929,0.000577929,0.000577929
79,4303.33,0.54643,0.40654,0.91243,0.95653,0.9939,0.99358,0.87981,0.51092,0.31726,0.89338,0.000576162,0.000576162,0.000576162
