epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8925,4.73504,7.22532,4.20624,0,0,0,0,5.33106,5.07841,4.16511,0.00330247,0.00330247,0.00330247
2,112.046,2.70515,5.08702,2.71288,0.51621,0.32784,0.31582,0.20709,1.683,4.69662,1.91031,0.0066139,0.0066139,0.0066139
3,161.529,1.46866,2.96972,1.57989,0.32263,0.36011,0.25768,0.18951,1.47083,3.47655,1.73667,0.00990334,0.00990334,0.00990334
4,210.905,1.13258,2.01825,1.30456,0.49846,0.50079,0.45832,0.35118,1.14316,3.39297,1.4189,0.009901,0.009901,0.009901
5,260.274,0.98012,1.51191,1.18135,0.5139,0.66918,0.56605,0.40767,1.08166,2.84414,1.34965,0.009868,0.009868,0.009868
6,309.343,0.89176,1.30345,1.11717,0.43452,0.51211,0.46237,0.37872,1.02899,2.4166,1.31741,0.009835,0.009835,0.009835
7,358.285,0.83237,1.16494,1.08517,0.67213,0.6235,0.63793,0.50117,0.96249,1.68965,1.21974,0.009802,0.009802,0.009802
8,407.489,0.7906,1.05529,1.05741,0.66096,0.61154,0.65814,0.47422,1.16315,1.43351,1.33639,0.009769,0.009769,0.009769
9,456.42,0.76193,0.98381,1.03663,0.68034,0.6913,0.69193,0.54227,0.99052,1.2275,1.20759,0.009736,0.009736,0.009736
10,505.825,0.72768,0.93637,1.01848,0.63884,0.70885,0.70299,0.53731,0.98281,1.31727,1.20719,0.009703,0.009703,0.009703
11,555.056,0.70131,0.88341,1.00254,0.70673,0.71536,0.74051,0.61247,0.74887,1.17883,1.06318,0.00967,0.00967,0.00967
12,604.525,0.67723,0.83397,0.99099,0.71895,0.71577,0.75743,0.56428,1.06653,1.19217,1.24419,0.009637,0.009637,0.009637
13,653.656,0.65946,0.79627,0.9798,0.82592,0.71306,0.79519,0.63813,0.86051,1.14152,1.10944,0.009604,0.009604,0.009604
14,702.852,0.64518,0.78544,0.97297,0.75854,0.75071,0.79957,0.69081,0.5921,0.89551,0.99036,0.009571,0.009571,0.009571
15,752.103,0.6358,0.75305,0.97114,0.78758,0.75908,0.80096,0.67343,0.68808,0.89616,1.03921,0.009538,0.009538,0.009538
16,800.957,0.62678,0.72752,0.96567,0.7792,0.77843,0.81528,0.69726,0.63546,0.81994,1.00237,0.009505,0.009505,0.009505
17,850.056,0.61136,0.71222,0.95461,0.78612,0.77702,0.82234,0.71529,0.5774,0.85472,0.976,0.009472,0.009472,0.009472
18,899.138,0.60319,0.69199,0.94825,0.8388,0.73854,0.83428,0.69469,0.66256,0.86318,1.00774,0.009439,0.009439,0.009439
19,948.121,0.593,0.67689,0.94915,0.79259,0.80503,0.85687,0.75139,0.51031,0.75729,0.94358,0.009406,0.009406,0.009406
20,996.918,0.58697,0.66393,0.9418,0.77522,0.76921,0.81892,0.7198,0.55454,0.87486,0.96158,0.009373,0.009373,0.009373
21,1045.94,0.5857,0.65716,0.94185,0.79932,0.76339,0.82131,0.71427,0.58594,0.86642,0.97328,0.00934,0.00934,0.00934
22,1094.98,0.57503,0.64316,0.93568,0.80641,0.82331,0.86677,0.75823,0.56217,0.79288,0.97105,0.009307,0.009307,0.009307
23,1144.09,0.5707,0.63221,0.93313,0.84251,0.82516,0.86984,0.75917,0.58392,0.72977,0.98431,0.009274,0.009274,0.009274
24,1195.05,0.5613,0.62158,0.93047,0.83807,0.81969,0.87012,0.78075,0.48731,0.72248,0.93272,0.009241,0.009241,0.009241
25,1249.27,0.55406,0.61378,0.93127,0.83746,0.82363,0.87278,0.77223,0.56309,0.80535,0.9629,0.009208,0.009208,0.009208
26,1298.24,0.54455,0.59882,0.9237,0.81128,0.80992,0.86676,0.7759,0.50147,0.74617,0.94372,0.009175,0.009175,0.009175
27,1346.97,0.54602,0.59522,0.91991,0.8752,0.80697,0.87702,0.79505,0.47329,0.71909,0.92628,0.009142,0.009142,0.009142
28,1395.74,0.53919,0.58084,0.91967,0.84967,0.80328,0.87167,0.77573,0.5014,0.67001,0.93315,0.009109,0.009109,0.009109
29,1444.89,0.53705,0.58492,0.92043,0.86457,0.80451,0.88162,0.78879,0.51735,0.70271,0.95088,0.009076,0.009076,0.009076
30,1493.68,0.53616,0.57224,0.91621,0.80431,0.86272,0.87329,0.78425,0.51326,0.73132,0.96189,0.009043,0.009043,0.009043
31,1542.76,0.52608,0.56516,0.91442,0.85982,0.84393,0.88734,0.80163,0.46583,0.64187,0.93541,0.00901,0.00901,0.00901
32,1592.13,0.51856,0.55867,0.90934,0.88422,0.82047,0.88726,0.7838,0.51055,0.66671,0.94275,0.008977,0.008977,0.008977
