epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9336,4.05924,8.10247,4.2936,2e-05,0.00084,1e-05,0,3.75948,inf,5.53164,0.00199099,0.00199099,0.00199099
2,175.365,3.03926,6.51535,3.28502,0.64922,0.19114,0.12529,0.07295,2.14687,9.15582,2.36444,0.00397124,0.00397124,0.00397124
3,253.107,1.94081,4.32903,2.06926,0.33207,0.39548,0.29043,0.16715,1.82569,3.09548,1.9471,0.00593168,0.00593168,0.00593168
4,330.382,1.63953,3.40653,1.76313,0.41873,0.33344,0.27945,0.14775,1.96296,2.77165,2.1012,0.00787232,0.00787232,0.00787232
5,407.94,1.51567,2.74441,1.62143,0.67269,0.28721,0.35206,0.17722,2.0074,2.46338,2.15237,0.00979317,0.00979317,0.00979317
6,485.381,1.40671,2.29295,1.53426,0.56538,0.5123,0.50233,0.29361,1.66042,1.91889,1.78689,0.0097525,0.0097525,0.0097525
7,562.523,1.29692,1.97818,1.4511,0.65345,0.47374,0.52842,0.36613,1.29673,1.76519,1.47005,0.009703,0.009703,0.009703
8,639.531,1.20165,1.77007,1.37706,0.60124,0.56157,0.59477,0.39695,1.35578,1.60779,1.49405,0.0096535,0.0096535,0.0096535
9,716.987,1.13041,1.61357,1.32475,0.61178,0.61665,0.61772,0.43998,1.15896,1.43232,1.36979,0.009604,0.009604,0.009604
10,794.746,1.05793,1.50466,1.27238,0.64448,0.59289,0.62368,0.50547,0.86464,1.34085,1.1718,0.0095545,0.0095545,0.0095545
11,871.952,1.02219,1.43741,1.25191,0.69313,0.62924,0.66782,0.52882,0.90288,1.2644,1.17436,0.009505,0.009505,0.009505
12,949.532,0.98907,1.35366,1.21958,0.72064,0.6338,0.67721,0.54974,0.81931,1.24199,1.1312,0.0094555,0.0094555,0.0094555
13,1026.32,0.95845,1.30195,1.19943,0.74801,0.64519,0.71429,0.55291,0.89569,1.14407,1.1722,0.009406,0.009406,0.009406
