epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1844,5.12092,7.14405,4.16338,0,0,0,0,5.48414,4.72721,4.14394,0.00327869,0.00327869,0.00327869
2,67.5318,2.6818,4.80697,2.63253,0,0,0,0,5.25749,4.73561,4.06102,0.00657929,0.00657929,0.00657929
3,96.0626,1.3349,2.45137,1.40006,0.63894,0.44737,0.4417,0.30491,1.35363,7.97866,2.0929,0.0098469,0.0098469,0.0098469
4,124.563,1.06763,1.67566,1.17674,0.46613,0.59562,0.50993,0.34164,1.36382,2.37562,1.82854,0.0098515,0.0098515,0.0098515
5,162.052,0.90526,1.29811,1.08603,0.55485,0.65706,0.69925,0.52975,0.99157,2.35086,1.39196,0.009802,0.009802,0.009802
6,190.385,0.83862,1.10301,1.03391,0.55088,0.64873,0.70199,0.49932,1.28847,2.5174,1.71124,0.0097525,0.0097525,0.0097525
7,218.475,0.7828,0.97725,1.01037,0.67666,0.73312,0.78149,0.62319,0.90151,1.20087,1.16097,0.009703,0.009703,0.009703
8,246.681,0.74638,0.9041,0.99391,0.69152,0.7832,0.76581,0.64126,0.70462,1.13366,1.02626,0.0096535,0.0096535,0.0096535
9,274.78,0.70988,0.8344,0.97022,0.71922,0.77452,0.80711,0.618,0.97975,1.12994,1.19075,0.009604,0.009604,0.009604
10,303.337,0.68965,0.79681,0.95842,0.69618,0.78487,0.78513,0.63302,0.79586,0.91841,1.06339,0.0095545,0.0095545,0.0095545
11,331.454,0.65899,0.74798,0.94782,0.72279,0.80644,0.83429,0.67394,0.80143,0.83524,1.09378,0.009505,0.009505,0.009505
12,359.524,0.63993,0.72356,0.93968,0.91214,0.74716,0.8964,0.71939,0.81161,0.72715,1.07311,0.0094555,0.0094555,0.0094555
13,387.653,0.6304,0.70538,0.93457,0.70717,0.80262,0.84347,0.71942,0.65205,0.72787,0.99472,0.009406,0.009406,0.009406
14,424.961,0.60685,0.68144,0.92219,0.82054,0.80295,0.87892,0.72455,0.74545,0.7297,1.03214,0.0093565,0.0093565,0.0093565
15,453.069,0.59442,0.65917,0.91823,0.75899,0.89452,0.92571,0.74425,0.83337,0.67352,1.08121,0.009307,0.009307,0.009307
16,481.151,0.58248,0.64438,0.91354,0.92559,0.75509,0.89288,0.81285,0.47258,0.64763,0.91066,0.0092575,0.0092575,0.0092575
17,509.219,0.57632,0.63189,0.9097,0.94431,0.82522,0.94069,0.84819,0.49016,0.52698,0.90502,0.009208,0.009208,0.009208
18,537.243,0.56296,0.60097,0.90451,0.89663,0.8168,0.90755,0.81142,0.50253,0.57318,0.91659,0.0091585,0.0091585,0.0091585
19,565.149,0.55796,0.60511,0.90152,0.9301,0.80627,0.94122,0.85471,0.47806,0.50568,0.91086,0.009109,0.009109,0.009109
20,593.153,0.54651,0.5868,0.89831,0.91043,0.87136,0.94379,0.83942,0.5406,0.58943,0.93215,0.0090595,0.0090595,0.0090595
21,621.116,0.53702,0.57464,0.89245,0.96095,0.78434,0.92909,0.82092,0.56967,0.53033,0.94002,0.00901,0.00901,0.00901
22,649.013,0.52364,0.56763,0.88898,0.89004,0.8438,0.9205,0.82012,0.53056,0.49767,0.91572,0.0089605,0.0089605,0.0089605
23,677.015,0.52045,0.55763,0.88866,0.82582,0.78929,0.8974,0.77825,0.64081,0.66221,0.97212,0.008911,0.008911,0.008911
24,704.995,0.51737,0.54949,0.88807,0.93867,0.86044,0.95568,0.86482,0.48028,0.47455,0.90002,0.0088615,0.0088615,0.0088615
25,732.946,0.51505,0.54085,0.8876,0.81777,0.83307,0.90457,0.81431,0.51326,0.6812,0.91923,0.008812,0.008812,0.008812
26,760.898,0.50908,0.53615,0.88069,0.89556,0.87178,0.93021,0.80917,0.59046,0.51587,0.94289,0.0087625,0.0087625,0.0087625
27,788.964,0.50445,0.52482,0.87925,0.89316,0.8702,0.94967,0.86711,0.44761,0.44809,0.89603,0.008713,0.008713,0.008713
28,816.976,0.50334,0.52009,0.88127,0.93189,0.87978,0.95961,0.88823,0.43457,0.42548,0.88318,0.0086635,0.0086635,0.0086635
29,844.926,0.50149,0.50473,0.87844,0.95377,0.87604,0.95965,0.87075,0.48361,0.45077,0.90166,0.008614,0.008614,0.008614
30,872.909,0.49604,0.49623,0.87541,0.92685,0.88022,0.96,0.87403,0.46848,0.46021,0.8991,0.0085645,0.0085645,0.0085645
31,900.804,0.48975,0.49985,0.87616,0.92513,0.85421,0.9391,0.83226,0.54537,0.53171,0.92375,0.008515,0.008515,0.008515
